stid,number,name,lat [degrees],lon [degrees],elevation [m],county,nearest_city,state,distance_from_town [km],direction_from_town [degrees],climate_division,climate_division_name,wfo,commissioned,decommissioned
EDWA,17,Edwards,44.32177,-75.24413,207.996,St. Lawrence,Edwards,NY,0.6,ESE,8,St. Lawrence Valley,BTV,2016-08-16 23:10:00 UTC,
ELDR,53,Eldred,41.53961,-74.87992,347.624,Sullivan,Eldred,NY,1.4,NNE,2,Eastern Plateau,BGM,2016-08-25 17:15:00 UTC,
ELLE,55,Ellenburg,44.8955,-73.84502,297.912,Clinton,Ellenburg,NY,0.7,WNW,3,Northern Plateau,BTV,2016-08-30 15:35:00 UTC,
ELMI,73,Elmira,42.11332,-76.83664,332.445,Chemung,Elmira,NY,3.5,NW,1,Western Plateau,BGM,2016-06-30 17:35:00 UTC,
ESSX,13,Essex,44.313604,-73.371896,55.5,Essex,Essex,NY,1.6,WNW,7,Champlain Valley,BTV,2015-12-05 21:15:00 UTC,
FAYE,88,Fayetteville,43.054226,-75.990041,179.07,Onondaga,Fayetteville,NY,2.9,NNE,10,Central Lakes,BGM,2016-07-14 19:35:00 UTC,
FRED,56,Fredonia,42.41817,-79.3666,238.75,Chautauqua,Fredonia,NY,3.7,SW,9,Great Lakes,BUF,2016-04-23 01:45:00 UTC,
GABR,118,Gabriels,44.41742,-74.17867,535.72,Franklin,Gabriels,NY,1.6,S,3,Northern Plateau,BTV,2016-01-20 20:15:00 UTC,
GFAL,38,Glens Falls,43.34087,-73.60202,98.664,Warren,Glens Falls,NY,4.9,NE,5,Hudson Valley,ALY,2017-03-10 20:20:00 UTC,
GFLD,91,Glenfield,43.7168,-75.40925,255.514,Lewis,Glenfield,NY,0.9,NW,3,Northern Plateau,BUF,2016-08-29 17:35:00 UTC,
GROT,41,Groton,42.54855,-76.37534,392.247,Tompkins,Groton,NY,4.4,S,10,Central Lakes,BGM,2016-12-21 19:40:00 UTC,
GROV,71,Grove,42.48951,-77.94946,609.722,Allegany,Grove,NY,8.9,NW,1,Western Plateau,BUF,2016-07-20 18:40:00 UTC,
HAMM,60,Hammond,44.51302,-75.61729,111.953,St. Lawrence,Hammond,NY,9.4,NE,8,St. Lawrence Valley,BTV,2016-08-16 16:50:00 UTC,
HARP,101,Harpersfield,42.4728,-74.69849,519.897,Delaware,Harpersfield,NY,4,NNW,2,Eastern Plateau,BGM,2016-08-04 19:55:00 UTC,
HARR,112,Harrisburg,43.80352,-75.68853,494.69,Lewis,Harrisburg,NY,8,WSW,3,Northern Plateau,BUF,2016-06-21 20:25:00 UTC,
HART,40,Hartsville,42.211221,-77.689733,729.569,Steuben,Hartsville,NY,4,S,1,Western Plateau,BGM,2016-08-09 21:00:00 UTC,
HERK,50,Herkimer,43.03662,-75.00957,217.536,Herkimer,Herkimer,NY,2.2,WNW,6,Mohawk Valley,ALY,2016-08-10 01:10:00 UTC,
HFAL,82,High Falls,41.7988,-74.12312,193.121,Ulster,High Falls,NY,3.1,S,5,Hudson Valley,ALY,2016-11-17 18:25:00 UTC,
ILAK,122,Indian Lake,43.79067,-74.23933,494.172,Hamilton,Indian Lake,NY,2.3,ENE,3,Northern Plateau,ALY,2016-07-26 16:25:00 UTC,
JOHN,31,Johnstown,42.984283,-74.301767,227.198,Montgomery,Johnstown,NY,6,ESE,6,Mohawk Valley,ALY,2016-03-22 16:50:00 UTC,
JORD,27,Jordan,43.0698,-76.47006,122.682,Onondaga,Jordan,NY,0.5,NE,10,Central Lakes,BGM,2015-11-17 21:45:00 UTC,
KIND,64,Kinderhook,42.41001,-73.71557,72.5729,Columbia,Kinderhook,NY,2.2,NW,5,Hudson Valley,ALY,2016-08-30 17:30:00 UTC,
LAUR,47,Laurens,42.52526,-75.1369,495.971,Otsego,Laurens,NY,3.9,W,2,Eastern Plateau,BGM,2016-01-15 22:45:00 UTC,
LOUI,61,Louisville,44.87169,-75.05608,85.1002,St. Lawrence,Louisville,NY,4.2,SW,8,St. Lawrence Valley,BTV,2016-03-26 19:20:00 UTC,
MALO,21,Malone,44.852869,-74.328874,236.22,Franklin,Malone,NY,2.7,W,8,St. Lawrence Valley,BTV,2016-08-15 22:30:00 UTC,
MANH,1,Manhattan,40.767544,-73.964482,94.7928,New York,Manhattan,NY,1.8,SSE,4,Coastal,OKX,2017-07-18 19:50:00 UTC,
MEDI,69,Medina,43.22668,-78.30927,162.489,Orleans,Medina,NY,6.3,E,9,Great Lakes,BUF,2016-07-19 20:20:00 UTC,
MEDU,105,Medusa,42.46869,-74.16541,380.147,Albany,Medusa,NY,4.7,NW,2,Eastern Plateau,ALY,2016-08-24 16:40:00 UTC,
MORR,7,Morrisville,42.883917,-75.642447,381.213,Madison,Morrisville,NY,1.7,S,2,Eastern Plateau,BGM,2016-06-27 18:50:00 UTC,
NBRA,86,North Branch,41.82792,-74.99689,456.225,Sullivan,North Branch,NY,2.4,N,2,Eastern Plateau,BGM,2016-07-21 17:30:00 UTC,
NEWC,48,Newcomb,43.97329,-74.22273,501.396,Essex,Newcomb,NY,4.7,W,3,Northern Plateau,BTV,2016-10-18 16:45:00 UTC,
NHUD,116,North Hudson,44.0131,-73.70516,298.978,Essex,North Hudson,NY,7,NNE,7,Champlain Valley,BTV,2016-09-13 14:50:00 UTC,
OLDF,11,Old Forge,43.74157,-74.97786,534.406,Herkimer,Old Forge,NY,3.5,N,3,Northern Plateau,ALY,2016-09-02 15:25:00 UTC,
OLEA,65,Olean,42.09141,-78.40743,457.23,Cattaraugus,Olean,NY,2.1,ENE,1,Western Plateau,BUF,2016-06-02 23:15:00 UTC,
ONTA,37,Ontario,43.25941,-77.37331,99.8525,Wayne,Ontario,NY,8.4,WNW,9,Great Lakes,BUF,2016-11-01 19:30:00 UTC,
OPPE,117,Oppenheim,43.0626,-74.665437,359.999,Fulton,Oppenheim,NY,2.5,ESE,6,Mohawk Valley,ALY,2016-07-29 17:25:00 UTC,
OSCE,84,Osceola,43.49915,-75.71175,333.177,Lewis,Osceola,NY,0.9,E,3,Northern Plateau,BUF,2016-06-22 18:50:00 UTC,
OSWE,16,Oswego,43.443183,-76.553233,93.726,Oswego,Oswego,NY,3.7,WSW,9,Great Lakes,BUF,2016-07-07 00:25:00 UTC,
OTIS,100,Otisville,41.48249,-74.50368,237.165,Orange,Otisville,NY,3.1,E,5,Hudson Valley,OKX,2015-12-10 18:20:00 UTC,
OWEG,52,Owego,42.02571,-76.25543,447.873,Tioga,Owego,NY,8.5,S,2,Eastern Plateau,BGM,2016-07-20 22:35:00 UTC,
PENN,77,Penn Yan,42.65578,-76.98746,250.668,Yates,Penn Yan,NY,5.5,E,10,Central Lakes,BGM,2016-05-24 15:15:00 UTC,
PHIL,89,Philadelphia,44.19354,-75.71591,130.912,Jefferson,Philadelphia,NY,4.3,N,3,Northern Plateau,BUF,2016-07-08 00:05:00 UTC,
PISE,114,Piseco,43.46474,-74.50432,535.991,Hamilton,Piseco,NY,3.1,NNE,3,Northern Plateau,ALY,2017-03-25 16:00:00 UTC,
POTS,22,Potsdam,44.656867,-74.974433,128.687,St. Lawrence,Potsdam,NY,1.5,SSE,8,St. Lawrence Valley,BTV,2016-07-08 01:45:00 UTC,
QUEE,34,Queens,40.734335,-73.815856,54.5592,Queens,Queens,NY,1.9,WNW,4,Coastal,OKX,2017-04-18 20:50:00 UTC,
RAND,125,Randolph,42.14928,-78.90096,448.97,Cattaraugus,Randolph,NY,6.3,ESE,1,Western Plateau,BUF,2016-06-02 15:50:00 UTC,
RAQU,45,Raquette Lake,43.822752,-74.625091,539.74,Hamilton,Raquette Lake,NY,2.8,ENE,3,Northern Plateau,ALY,2016-11-10 18:55:00 UTC,
REDF,120,Redfield,43.62218,-75.87769,380.39,Oswego,Redfield,NY,10.9,NNW,3,Northern Plateau,BUF,2016-06-21 23:30:00 UTC,
REDH,25,Red Hook,42.00168,-73.88391,64.8005,Dutchess,Red Hook,NY,1,NW,5,Hudson Valley,ALY,2016-08-02 18:20:00 UTC,
ROXB,62,Roxbury,42.32964,-74.46746,573.055,Delaware,Roxbury,NY,7.9,ENE,2,Eastern Plateau,BGM,2016-08-24 17:20:00 UTC,
RUSH,87,Rush,43.00099,-77.63739,180.807,Monroe,Rush,NY,0.8,NW,9,Great Lakes,BUF,2016-07-12 18:20:00 UTC,
SARA,121,Saranac,44.707585,-73.67115,313.731,Clinton,Saranac,NY,8.5,NE,7,Champlain Valley,BTV,2016-07-12 18:10:00 UTC,
SBRI,75,South Bristol,42.75217,-77.35931,349.64,Ontario,South Bristol,NY,4.1,NE,10,Central Lakes,BUF,2016-02-19 01:25:00 UTC,
SCHA,12,Schaghticoke,42.89697,-73.61405,98.45,Rensselaer,Schaghticoke,NY,2.4,W,5,Hudson Valley,ALY,2016-06-20 20:40:00 UTC,
SCHO,126,Schodack,42.50631,-73.68584,104.882,Rensselaer,Schodack,NY,6.4,S,5,Hudson Valley,ALY,2017-01-11 20:00:00 UTC,
SCHU,9,Schuylerville,43.116996,-73.578284,31.4462,Saratoga,Schuylerville,NY,1.9,N,5,Hudson Valley,ALY,2015-08-09 20:40:00 UTC,
SCIP,81,Scipio Center,42.756216,-76.534035,395.234,Cayuga,Scipio Center,NY,3.7,SSE,10,Central Lakes,BGM,2016-09-22 18:45:00 UTC,
SHER,54,Sherburne,42.64026,-75.4837,352.623,Chenango,Sherburne,NY,4.3,SSE,2,Eastern Plateau,BGM,2016-02-23 19:05:00 UTC,
SOME,103,Somers,41.31037,-73.76711,184.892,Westchester,Shenorock,NY,3.4,SW,5,Hudson Valley,OKX,2017-02-28 19:20:00 UTC,
SOUT,35,Southold,41.040081,-72.465864,8.93064,Suffolk,Southold,NY,4.3,SW,4,Coastal,OKX,2016-11-10 22:25:00 UTC,
SPRA,8,Sprakers,42.87427,-74.50859,199.857,Montgomery,Sprakers,NY,2.4,S,6,Mohawk Valley,ALY,2015-11-06 20:00:00 UTC,
SPRI,102,Springfield,42.84315,-74.88961,450.342,Otsego,Springfield,NY,3,WNW,2,Eastern Plateau,BGM,2016-08-15 22:00:00 UTC,
STAT,20,Staten Island,40.604014,-74.148499,33.1,Richmond,Staten Island,NY,5.3,N,4,Coastal,OKX,2017-05-03 22:15:00 UTC,
STEP,63,Stephentown,42.5262,-73.35906,289.77,Rensselaer,Stephentown,NY,2.8,SSE,5,Hudson Valley,ALY,2015-12-08 18:40:00 UTC,
STON,2,Stony Brook,40.91912,-73.13168,43.9217,Suffolk,Stony Brook,NY,1.06,SE,4,Coastal,OKX,2018-02-21 15:35:00 UTC,
SUFF,28,Suffern,41.13038,-74.08987,178.095,Rockland,Suffern,NY,5.3,ENE,5,Hudson Valley,OKX,2016-08-17 17:45:00 UTC,
TANN,108,Tannersville,42.17071,-74.11343,711.373,Greene,Tannersville,NY,3.3,SSE,2,Eastern Plateau,ALY,2017-02-01 20:30:00 UTC,
TICO,15,Ticonderoga,43.87469,-73.41879,83.637,Essex,Ticonderoga,NY,2.9,N,7,Champlain Valley,BTV,2016-01-28 19:50:00 UTC,
TULL,83,Tully,42.79463,-76.11555,378.379,Onondaga,Tully,NY,0.6,SW,10,Central Lakes,BGM,2016-03-30 17:30:00 UTC,
TUPP,124,Tupper Lake,44.22128,-74.43826,502.829,Franklin,Tupper Lake,NY,2.1,E,3,Northern Plateau,BTV,2016-07-13 17:20:00 UTC,
TYRO,39,Tyrone,42.40611,-77.0539,366.857,Schuyler,Tyrone,NY,0.4,ESE,10,Central Lakes,BGM,2016-05-23 19:10:00 UTC,
VOOR,3,Voorheesville,42.65242,-73.97562,115.062,Albany,Voorheesville,NY,3.8,W,5,Hudson Valley,ALY,2016-08-16 16:10:00 UTC,
WALL,36,Wallkill,41.63409,-74.1537,107.777,Ulster,Wallkill,NY,4,NE,5,Hudson Valley,ALY,2016-06-23 17:50:00 UTC,
